24 cycles	 0.000024 seconds
0 cycles	 0.000002 seconds
0 cycles	 0.000002 seconds
2 cycles	 0.000002 seconds
1 cycles	 0.000001 seconds
1 cycles	 0.000001 seconds
1 cycles	 0.000001 seconds
1 cycles	 0.000001 seconds
2 cycles	 0.000001 seconds
0 cycles	 0.000002 seconds
0 cycles	 0.000002 seconds
0 cycles	 0.000002 seconds
0 cycles	 0.000002 seconds
2 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
0 cycles	 0.000002 seconds
0 cycles	 0.000002 seconds
2 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
0 cycles	 0.000002 seconds
0 cycles	 0.000002 seconds
2 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
0 cycles	 0.000002 seconds
1 cycles	 0.000001 seconds
1 cycles	 0.000001 seconds
1 cycles	 0.000001 seconds
1 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
0 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
1 cycles	 0.000001 seconds
1 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
1 cycles	 0.000001 seconds
1 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
0 cycles	 0.000002 seconds
1 cycles	 0.000001 seconds
0 cycles	 0.000002 seconds
2 cycles	 0.000002 seconds
1 cycles	 0.000001 seconds
1 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
2 cycles	 0.000001 seconds
1 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
2 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
2 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
2 cycles	 0.000003 seconds
1 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
2 cycles	 0.000002 seconds
2 cycles	 0.000003 seconds
1 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
2 cycles	 0.000002 seconds
2 cycles	 0.000003 seconds
2 cycles	 0.000002 seconds
2 cycles	 0.000002 seconds
2 cycles	 0.000003 seconds
1 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
1 cycles	 0.000003 seconds
2 cycles	 0.000003 seconds
1 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
2 cycles	 0.000002 seconds
3 cycles	 0.000003 seconds
2 cycles	 0.000003 seconds
2 cycles	 0.000003 seconds
2 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
2 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
2 cycles	 0.000002 seconds
2 cycles	 0.000002 seconds
3 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
2 cycles	 0.000002 seconds
2 cycles	 0.000002 seconds
3 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
2 cycles	 0.000002 seconds
2 cycles	 0.000002 seconds
1 cycles	 0.000002 seconds
3 cycles	 0.000003 seconds
2 cycles	 0.000003 seconds
1 cycles	 0.000003 seconds
2 cycles	 0.000003 seconds
3 cycles	 0.000003 seconds
1 cycles	 0.000002 seconds
2 cycles	 0.000002 seconds
2 cycles	 0.000003 seconds
2 cycles	 0.000003 seconds
3 cycles	 0.000003 seconds
1 cycles	 0.000002 seconds
2 cycles	 0.000003 seconds
1 cycles	 0.000003 seconds
2 cycles	 0.000003 seconds
3 cycles	 0.000002 seconds
